# z cos(z) sin(z) qspline qsplineInteg qsplineDeriv -sin(z)
2.3 -0.666276 0.745705 -0.692722 0.739874 -0.694032 -0.745705
2.32 -0.681056 0.732231 -0.706299 0.725883 -0.663648 -0.732231
2.34 -0.695563 0.718465 -0.719268 0.711626 -0.633263 -0.718465
2.36 -0.709793 0.704411 -0.731629 0.697116 -0.602878 -0.704411
2.38 -0.723738 0.690075 -0.743383 0.682365 -0.572494 -0.690075
2.4 -0.737394 0.675463 -0.754529 0.667385 -0.542109 -0.675463
2.42 -0.750755 0.660581 -0.765067 0.652188 -0.511725 -0.660581
2.44 -0.763815 0.645435 -0.774998 0.636786 -0.48134 -0.645435
2.46 -0.77657 0.630031 -0.784321 0.621192 -0.450956 -0.630031
2.48 -0.789015 0.614374 -0.793036 0.605418 -0.420571 -0.614374
2.5 -0.801144 0.598472 -0.801144 0.589475 -0.390187 -0.598472
2.52 -0.812952 0.582331 -0.808937 0.573374 -0.389187 -0.582331
2.54 -0.824435 0.565956 -0.816711 0.557118 -0.388188 -0.565956
2.56 -0.835589 0.549355 -0.824465 0.540706 -0.387189 -0.549355
2.58 -0.846408 0.532535 -0.832199 0.524139 -0.38619 -0.532535
2.6 -0.856889 0.515501 -0.839912 0.507418 -0.385191 -0.515501
2.62 -0.867027 0.498262 -0.847606 0.490543 -0.384192 -0.498262
2.64 -0.876818 0.480823 -0.85528 0.473514 -0.383193 -0.480823
2.66 -0.886258 0.463191 -0.862934 0.456332 -0.382194 -0.463191
2.68 -0.895344 0.445375 -0.870568 0.438997 -0.381195 -0.445375
2.7 -0.904072 0.42738 -0.878182 0.421509 -0.380196 -0.42738
2.72 -0.912438 0.409214 -0.885776 0.403869 -0.379196 -0.409214
2.74 -0.92044 0.390885 -0.89335 0.386078 -0.378197 -0.390885
2.76 -0.928073 0.372399 -0.900904 0.368136 -0.377198 -0.372399
2.78 -0.935335 0.353764 -0.908438 0.350042 -0.376199 -0.353764
2.8 -0.942222 0.334988 -0.915952 0.331798 -0.3752 -0.334988
2.82 -0.948733 0.316078 -0.923446 0.313404 -0.374201 -0.316078
2.84 -0.954865 0.297041 -0.93092 0.294861 -0.373202 -0.297041
2.86 -0.960614 0.277886 -0.938374 0.276168 -0.372203 -0.277886
2.88 -0.965979 0.258619 -0.945808 0.257326 -0.371204 -0.258619
2.9 -0.970958 0.239249 -0.953222 0.238335 -0.370204 -0.239249
2.92 -0.975549 0.219784 -0.960616 0.219197 -0.369205 -0.219784
2.94 -0.979749 0.20023 -0.96799 0.199911 -0.368206 -0.20023
2.96 -0.983557 0.180596 -0.975344 0.180478 -0.367207 -0.180596
2.98 -0.986972 0.16089 -0.982678 0.160897 -0.366208 -0.16089
3 -0.989992 0.14112 -0.989992 0.141171 -0.365209 -0.14112
3.02 -0.992617 0.121293 -0.996919 0.1213 -0.327427 -0.121293
3.04 -0.994844 0.101418 -1.00309 0.101299 -0.289644 -0.101418
3.06 -0.996673 0.0815022 -1.0085 0.0811816 -0.251862 -0.0815022
3.08 -0.998104 0.0615537 -1.01316 0.0609636 -0.214079 -0.0615537
3.1 -0.999135 0.0415807 -1.01707 0.0406601 -0.176297 -0.0415807
3.12 -0.999767 0.021591 -1.02022 0.020286 -0.138514 -0.021591
3.14 -0.999999 0.00159265 -1.02261 -0.000143533 -0.100732 -0.00159265
3.16 -0.999831 -0.0184063 -1.02425 -0.0206133 -0.0629494 0.0184063
3.18 -0.999263 -0.0383979 -1.02513 -0.0411083 -0.0251669 0.0383979
3.2 -0.998295 -0.0583741 -1.02525 -0.0616133 0.0126155 0.0583741
3.22 -0.996928 -0.078327 -1.02462 -0.0821133 0.0503979 0.078327
3.24 -0.995162 -0.0982486 -1.02324 -0.102593 0.0881804 0.0982486
3.26 -0.992998 -0.118131 -1.02109 -0.123038 0.125963 0.118131
3.28 -0.990437 -0.137966 -1.0182 -0.143432 0.163745 0.137966
3.3 -0.98748 -0.157746 -1.01454 -0.163761 0.201528 0.157746
3.32 -0.984128 -0.177462 -1.01014 -0.184009 0.23931 0.177462
3.34 -0.980382 -0.197108 -1.00497 -0.204161 0.277093 0.197108
3.36 -0.976244 -0.216675 -0.999053 -0.224203 0.314875 0.216675
3.38 -0.971715 -0.236155 -0.992377 -0.244118 0.352658 0.236155
3.4 -0.966798 -0.255541 -0.984946 -0.263893 0.39044 0.255541
3.42 -0.961494 -0.274825 -0.97676 -0.283511 0.428222 0.274825
3.44 -0.955806 -0.293998 -0.967817 -0.302958 0.466005 0.293998
3.46 -0.949735 -0.313054 -0.958119 -0.322219 0.503787 0.313054
3.48 -0.943285 -0.331985 -0.947666 -0.341278 0.54157 0.331985
3.5 -0.936457 -0.350783 -0.936457 -0.36012 0.579352 0.350783
3.52 -0.929254 -0.369441 -0.924881 -0.378733 0.578254 0.369441
3.54 -0.92168 -0.387951 -0.913327 -0.397116 0.577156 0.387951
3.56 -0.913737 -0.406306 -0.901794 -0.415267 0.576058 0.406306
3.58 -0.905429 -0.424498 -0.890284 -0.433187 0.57496 0.424498
3.6 -0.896758 -0.44252 -0.878796 -0.450878 0.573862 0.44252
3.62 -0.887729 -0.460366 -0.86733 -0.468339 0.572764 0.460366
3.64 -0.878345 -0.478027 -0.855885 -0.485572 0.571666 0.478027
3.66 -0.868609 -0.495497 -0.844463 -0.502575 0.570568 0.495497
3.68 -0.858526 -0.512769 -0.833063 -0.51935 0.569469 0.512769
3.7 -0.8481 -0.529836 -0.821684 -0.535898 0.568371 0.529836
3.72 -0.837334 -0.546691 -0.810328 -0.552218 0.567273 0.546691
3.74 -0.826234 -0.563327 -0.798993 -0.568311 0.566175 0.563327
3.76 -0.814803 -0.579738 -0.787681 -0.584178 0.565077 0.579738
3.78 -0.803046 -0.595917 -0.77639 -0.599818 0.563979 0.595917
3.8 -0.790968 -0.611858 -0.765122 -0.615233 0.562881 0.611858
3.82 -0.778573 -0.627554 -0.753875 -0.630423 0.561783 0.627554
3.84 -0.765867 -0.642999 -0.74265 -0.645389 0.560685 0.642999
3.86 -0.752855 -0.658186 -0.731448 -0.660129 0.559587 0.658186
3.88 -0.739542 -0.673111 -0.720267 -0.674647 0.558489 0.673111
3.9 -0.725932 -0.687766 -0.709108 -0.68894 0.55739 0.687766
3.92 -0.712033 -0.702146 -0.697971 -0.703011 0.556292 0.702146
3.94 -0.697848 -0.716246 -0.686856 -0.716859 0.555194 0.716246
3.96 -0.683385 -0.730058 -0.675764 -0.730485 0.554096 0.730058
3.98 -0.668648 -0.743579 -0.664693 -0.74389 0.552998 0.743579
4 -0.653644 -0.756802 -0.653644 -0.757073 0.5519 0.756802
4.02 -0.638378 -0.769723 -0.642339 -0.770034 0.578604 0.769723
4.04 -0.622857 -0.782336 -0.630499 -0.782763 0.605307 0.782336
4.06 -0.607087 -0.794636 -0.618126 -0.79525 0.632011 0.794636
4.08 -0.591073 -0.806618 -0.605219 -0.807485 0.658715 0.806618
4.1 -0.574824 -0.818277 -0.591778 -0.819456 0.685418 0.818277
4.12 -0.558345 -0.829609 -0.577802 -0.831152 0.712122 0.829609
4.14 -0.541642 -0.840609 -0.563293 -0.842564 0.738826 0.840609
4.16 -0.524722 -0.851273 -0.548249 -0.85368 0.765529 0.851273
4.18 -0.507593 -0.861597 -0.532672 -0.864491 0.792233 0.861597
4.2 -0.490261 -0.871576 -0.51656 -0.874984 0.818937 0.871576
4.22 -0.472732 -0.881206 -0.499914 -0.885149 0.84564 0.881206
4.24 -0.455015 -0.890484 -0.482734 -0.894977 0.872344 0.890484
4.26 -0.437115 -0.899405 -0.46502 -0.904455 0.899047 0.899405
4.28 -0.419041 -0.907967 -0.446772 -0.913574 0.925751 0.907967
4.3 -0.400799 -0.916166 -0.42799 -0.922323 0.952455 0.916166
4.32 -0.382397 -0.923998 -0.408674 -0.93069 0.979158 0.923998
4.34 -0.363842 -0.931461 -0.388824 -0.938666 1.00586 0.931461
4.36 -0.345141 -0.938551 -0.36844 -0.94624 1.03257 0.938551
4.38 -0.326302 -0.945266 -0.347521 -0.9534 1.05927 0.945266
4.4 -0.307333 -0.951602 -0.326069 -0.960137 1.08597 0.951602
4.42 -0.288241 -0.957558 -0.304083 -0.966439 1.11268 0.957558
4.44 -0.269033 -0.963131 -0.281562 -0.972297 1.13938 0.963131
4.46 -0.249718 -0.968319 -0.258507 -0.977698 1.16608 0.968319
4.48 -0.230303 -0.973119 -0.234919 -0.982633 1.19279 0.973119
4.5 -0.210796 -0.97753 -0.210796 -0.987091 1.21949 0.97753
4.52 -0.191204 -0.98155 -0.18659 -0.991065 1.20105 0.98155
4.54 -0.171536 -0.985178 -0.162754 -0.994557 1.1826 0.985178
4.56 -0.1518 -0.988411 -0.139286 -0.997577 1.16415 0.988411
4.58 -0.132003 -0.991249 -0.116188 -1.00013 1.14571 0.991249
4.6 -0.112153 -0.993691 -0.0934582 -1.00223 1.12726 0.993691
4.62 -0.0922576 -0.995735 -0.0710974 -1.00387 1.10882 0.995735
4.64 -0.0723258 -0.997381 -0.0491056 -1.00507 1.09037 0.997381
4.66 -0.052365 -0.998628 -0.0274827 -1.00584 1.07192 0.998628
4.68 -0.0323833 -0.999476 -0.00622866 -1.00618 1.05348 0.999476
4.7 -0.0123887 -0.999923 0.0146564 -1.00609 1.03503 0.999923
4.72 0.00761095 -0.999971 0.0351726 -1.00559 1.01658 0.999971
4.74 0.0276075 -0.999619 0.0553198 -1.00469 0.998139 0.999619
4.76 0.047593 -0.998867 0.0750981 -1.00338 0.979693 0.998867
4.78 0.0675595 -0.997715 0.0945075 -1.00168 0.961247 0.997715
4.8 0.087499 -0.996165 0.113548 -0.999603 0.942801 0.996165
4.82 0.107403 -0.994216 0.13222 -0.997145 0.924355 0.994216
4.84 0.127265 -0.991869 0.150522 -0.994317 0.905909 0.991869
4.86 0.147076 -0.989125 0.168456 -0.991127 0.887463 0.989125
4.88 0.166827 -0.985986 0.186021 -0.987581 0.869017 0.985986
4.9 0.186512 -0.982453 0.203217 -0.983688 0.850571 0.982453
4.92 0.206123 -0.978526 0.220044 -0.979455 0.832125 0.978526
4.94 0.225651 -0.974208 0.236502 -0.974889 0.813679 0.974208
4.96 0.245089 -0.969501 0.252591 -0.969997 0.795233 0.969501
4.98 0.264428 -0.964405 0.268311 -0.964788 0.776787 0.964405
5 0.283662 -0.958924 0.283662 -0.959267 0.758341 0.958924
5.02 0.302783 -0.95306 0.298902 -0.953442 0.765675 0.95306
5.04 0.321782 -0.946814 0.314289 -0.94731 0.773009 0.946814
5.06 0.340653 -0.940189 0.329823 -0.940869 0.780343 0.940189
5.08 0.359387 -0.933189 0.345503 -0.934116 0.787677 0.933189
5.1 0.377978 -0.925815 0.36133 -0.927048 0.795011 0.925815
5.12 0.396417 -0.91807 0.377303 -0.919662 0.802344 0.91807
5.14 0.414698 -0.909959 0.393424 -0.911955 0.809678 0.909959
5.16 0.432813 -0.901484 0.40969 -0.903924 0.817012 0.901484
5.18 0.450755 -0.892648 0.426104 -0.895567 0.824346 0.892648
5.2 0.468517 -0.883455 0.442664 -0.886879 0.83168 0.883455
