# z cos(z) sin(z) linterp linterpInteg
3.02 -0.992617 0.121293 -0.987851 0.118389
3.04 -0.994844 0.101418 -0.98571 0.0986536
3.06 -0.996673 0.0815022 -0.983568 0.0789609
3.08 -0.998104 0.0615537 -0.981427 0.0593109
3.1 -0.999135 0.0415807 -0.979285 0.0397038
3.12 -0.999767 0.021591 -0.977144 0.0201395
3.14 -0.999999 0.00159265 -0.975002 0.000618037
3.16 -0.999831 -0.0184063 -0.972861 -0.0188606
3.18 -0.999263 -0.0383979 -0.97072 -0.0382964
3.2 -0.998295 -0.0583741 -0.968578 -0.0576894
3.22 -0.996928 -0.078327 -0.966437 -0.0770395
3.24 -0.995162 -0.0982486 -0.964295 -0.0963469
3.26 -0.992998 -0.118131 -0.962154 -0.115611
3.28 -0.990437 -0.137966 -0.960012 -0.134833
3.3 -0.98748 -0.157746 -0.957871 -0.154012
3.32 -0.984128 -0.177462 -0.95573 -0.173148
3.34 -0.980382 -0.197108 -0.953588 -0.192241
3.36 -0.976244 -0.216675 -0.951447 -0.211291
3.38 -0.971715 -0.236155 -0.949305 -0.230299
3.4 -0.966798 -0.255541 -0.947164 -0.249264
3.42 -0.961494 -0.274825 -0.945022 -0.268185
3.44 -0.955806 -0.293998 -0.942881 -0.287064
3.46 -0.949735 -0.313054 -0.94074 -0.305901
3.48 -0.943285 -0.331985 -0.938598 -0.324694
3.5 -0.936457 -0.350783 -0.936457 -0.343445
3.52 -0.929254 -0.369441 -0.925144 -0.362061
3.54 -0.92168 -0.387951 -0.913832 -0.38045
3.56 -0.913737 -0.406306 -0.902519 -0.398614
3.58 -0.905429 -0.424498 -0.891207 -0.416551
3.6 -0.896758 -0.44252 -0.879894 -0.434262
3.62 -0.887729 -0.460366 -0.868582 -0.451747
3.64 -0.878345 -0.478027 -0.857269 -0.469005
3.66 -0.868609 -0.495497 -0.845957 -0.486038
3.68 -0.858526 -0.512769 -0.834644 -0.502844
3.7 -0.8481 -0.529836 -0.823331 -0.519423
3.72 -0.837334 -0.546691 -0.812019 -0.535777
3.74 -0.826234 -0.563327 -0.800706 -0.551904
3.76 -0.814803 -0.579738 -0.789394 -0.567805
3.78 -0.803046 -0.595917 -0.778081 -0.58348
3.8 -0.790968 -0.611858 -0.766769 -0.598928
3.82 -0.778573 -0.627554 -0.755456 -0.614151
3.84 -0.765867 -0.642999 -0.744144 -0.629147
3.86 -0.752855 -0.658186 -0.732831 -0.643916
3.88 -0.739542 -0.673111 -0.721519 -0.65846
3.9 -0.725932 -0.687766 -0.710206 -0.672777
3.92 -0.712033 -0.702146 -0.698894 -0.686868
3.94 -0.697848 -0.716246 -0.687581 -0.700733
3.96 -0.683385 -0.730058 -0.676269 -0.714371
3.98 -0.668648 -0.743579 -0.664956 -0.727784
4 -0.653644 -0.756802 -0.653644 -0.74097
4.02 -0.638378 -0.769723 -0.63593 -0.753865
4.04 -0.622857 -0.782336 -0.618216 -0.766407
4.06 -0.607087 -0.794636 -0.600502 -0.778594
4.08 -0.591073 -0.806618 -0.582788 -0.790427
4.1 -0.574824 -0.818277 -0.565074 -0.801906
4.12 -0.558345 -0.829609 -0.54736 -0.81303
4.14 -0.541642 -0.840609 -0.529646 -0.8238
4.16 -0.524722 -0.851273 -0.511932 -0.834216
4.18 -0.507593 -0.861597 -0.494218 -0.844277
4.2 -0.490261 -0.871576 -0.476504 -0.853984
4.22 -0.472732 -0.881206 -0.458791 -0.863337
4.24 -0.455015 -0.890484 -0.441077 -0.872336
4.26 -0.437115 -0.899405 -0.423363 -0.880981
4.28 -0.419041 -0.907967 -0.405649 -0.889271
4.3 -0.400799 -0.916166 -0.387935 -0.897206
4.32 -0.382397 -0.923998 -0.370221 -0.904788
4.34 -0.363842 -0.931461 -0.352507 -0.912015
4.36 -0.345141 -0.938551 -0.334793 -0.918888
4.38 -0.326302 -0.945266 -0.317079 -0.925407
4.4 -0.307333 -0.951602 -0.299365 -0.931571
4.42 -0.288241 -0.957558 -0.281651 -0.937382
4.44 -0.269033 -0.963131 -0.263938 -0.942838
4.46 -0.249718 -0.968319 -0.246224 -0.947939
4.48 -0.230303 -0.973119 -0.22851 -0.952686
4.5 -0.210796 -0.97753 -0.210796 -0.95708
4.52 -0.191204 -0.98155 -0.191017 -0.961098
4.54 -0.171536 -0.985178 -0.171239 -0.96472
4.56 -0.1518 -0.988411 -0.151461 -0.967947
4.58 -0.132003 -0.991249 -0.131683 -0.970779
4.6 -0.112153 -0.993691 -0.111904 -0.973215
4.62 -0.0922576 -0.995735 -0.0921259 -0.975255
4.64 -0.0723258 -0.997381 -0.0723476 -0.9769
4.66 -0.052365 -0.998628 -0.0525692 -0.978149
4.68 -0.0323833 -0.999476 -0.0327909 -0.979002
4.7 -0.0123887 -0.999923 -0.0130126 -0.97946
4.72 0.00761095 -0.999971 0.00676571 -0.979523
4.74 0.0276075 -0.999619 0.026544 -0.97919
4.76 0.047593 -0.998867 0.0463224 -0.978461
4.78 0.0675595 -0.997715 0.0661007 -0.977337
4.8 0.087499 -0.996165 0.085879 -0.975817
4.82 0.107403 -0.994216 0.105657 -0.973902
4.84 0.127265 -0.991869 0.125436 -0.971591
4.86 0.147076 -0.989125 0.145214 -0.968884
4.88 0.166827 -0.985986 0.164992 -0.965782
4.9 0.186512 -0.982453 0.184771 -0.962285
4.92 0.206123 -0.978526 0.204549 -0.958391
4.94 0.225651 -0.974208 0.224327 -0.954103
4.96 0.245089 -0.969501 0.244106 -0.949418
4.98 0.264428 -0.964405 0.263884 -0.944338
5 0.283662 -0.958924 0.283662 -0.938863
5.02 0.302783 -0.95306 0.300662 -0.93302
5.04 0.321782 -0.946814 0.317663 -0.926836
5.06 0.340653 -0.940189 0.334663 -0.920313
5.08 0.359387 -0.933189 0.351663 -0.91345
5.1 0.377978 -0.925815 0.368664 -0.906247
5.12 0.396417 -0.91807 0.385664 -0.898703
5.14 0.414698 -0.909959 0.402664 -0.89082
5.16 0.432813 -0.901484 0.419665 -0.882597
5.18 0.450755 -0.892648 0.436665 -0.874034
5.2 0.468517 -0.883455 0.453665 -0.86513
5.22 0.486091 -0.873908 0.470666 -0.855887
5.24 0.503471 -0.864012 0.487666 -0.846304
5.26 0.520649 -0.853771 0.504666 -0.83638
5.28 0.537619 -0.843188 0.521666 -0.826117
5.3 0.554374 -0.832267 0.538667 -0.815514
5.32 0.570908 -0.821014 0.555667 -0.80457
5.34 0.587213 -0.809433 0.572667 -0.793287
5.36 0.603283 -0.797527 0.589668 -0.781664
5.38 0.619112 -0.785303 0.606668 -0.7697
5.4 0.634693 -0.772764 0.623668 -0.757397
5.42 0.65002 -0.759917 0.640669 -0.744753
5.44 0.665088 -0.746765 0.657669 -0.73177
5.46 0.679889 -0.733315 0.674669 -0.718447
5.48 0.694418 -0.719572 0.691669 -0.704783
5.5 0.70867 -0.70554 0.70867 -0.69078
5.52 0.722638 -0.691227 0.71873 -0.676506
5.54 0.736317 -0.676637 0.72879 -0.662031
5.56 0.749702 -0.661776 0.73885 -0.647354
5.58 0.762786 -0.646651 0.74891 -0.632477
5.6 0.775566 -0.631267 0.75897 -0.617398
5.62 0.788035 -0.61563 0.76903 -0.602118
5.64 0.800189 -0.599747 0.77909 -0.586637
5.66 0.812024 -0.583625 0.78915 -0.570954
5.68 0.823533 -0.567269 0.79921 -0.555071
5.7 0.834713 -0.550686 0.80927 -0.538986
5.72 0.845559 -0.533882 0.81933 -0.5227
5.74 0.856067 -0.516865 0.82939 -0.506213
5.76 0.866232 -0.499642 0.83945 -0.489524
5.78 0.876051 -0.482218 0.84951 -0.472635
5.8 0.88552 -0.464602 0.85957 -0.455544
5.82 0.894634 -0.4468 0.86963 -0.438252
5.84 0.90339 -0.428819 0.87969 -0.420759
5.86 0.911785 -0.410667 0.88975 -0.403064
5.88 0.919816 -0.39235 0.89981 -0.385169
5.9 0.927478 -0.373877 0.90987 -0.367072
5.92 0.93477 -0.355254 0.91993 -0.348774
5.94 0.941688 -0.336488 0.92999 -0.330275
5.96 0.948229 -0.317589 0.94005 -0.311574
5.98 0.95439 -0.298562 0.95011 -0.292673
6 0.96017 -0.279415 0.96017 -0.27357
6.02 0.965566 -0.260157 0.960827 -0.25436
6.04 0.970576 -0.240795 0.961484 -0.235137
6.06 0.975197 -0.221337 0.96214 -0.215901
6.08 0.979429 -0.20179 0.962797 -0.196651
6.1 0.983268 -0.182163 0.963454 -0.177389
6.12 0.986715 -0.162462 0.96411 -0.158113
6.14 0.989766 -0.142697 0.964767 -0.138824
6.16 0.992422 -0.122874 0.965424 -0.119522
6.18 0.994681 -0.103002 0.966081 -0.100207
6.2 0.996542 -0.0830894 0.966737 -0.0808792
